,event-1,event-2,event-3,event-4,event-5,event-6,event-7,event-8,event-9,event-10,event-11,event-12,event-13,event-14,event-15,event-16,event-17,event-18,event-19,event-20,event-21,event-22,event-23,event-24,event-25,event-26,event-27,event-28,event-29,event-30,event-31,event-32,event-33,event-34,event-35,event-36,event-37,event-38
0,19821225,19831230,19861201,19871213,19871229,19880207,19890126,19900217,19910115,19910202,19910202,19930113,19940102,19941223,19980203,19980203,19981231,19990124,20000201,20001215,20020107,20020213,20021215,20051222,20070105,20070130,20071202,20080106,20080118,20090201,20091229,20101204,20110131,20120211,20170107,20180101,20180101,20180119
1,19821226,19831231,19861202,19871214,19871230,19880208,19890127,19900218,19910116,19910204,19910204,19930114,19940103,19941224,19980204,19980204,19990101,19990125,20000205,20001216,20020108,20020214,20021216,20051223,20070106,20070201,20071204,20080107,20080119,20090202,20091230,20101205,20110201,20120212,20170108,20180102,20180102,20180120
2,19821227,19840101,19861203,19871215,19871231,19880209,19890128,19900219,19910117,19910205,19910205,19930115,19940104,19941225,19980205,19980205,19990102,19990126,20000206,20001217,20020109,20020215,20021217,20051224,20070107,20070204,20071205,20080108,20080120,20090203,20091231,20101206,20110203,20120213,20170109,20180103,20180103,20180121
3,19821228,19840102,19861204,19871216,19880101,19880210,19890129,19900220,19910118,19910206,19910206,19930116,19940105,19941226,19980206,19980206,19990103,19990127,20000207,20001218,20020110,20020216,20021218,20051225,20070108,20070205,20071206,20080109,20080121,20090204,20100101,20101207,20110205,20120214,20170110,20180104,20180104,20180122
4,19821229,19840104,19861205,19871217,19880102,19880211,19890130,19900221,19910119,19910207,19910207,19930117,19940106,19941227,19980207,19980207,19990104,19990128,20000208,20001219,20020111,20020217,20021219,20051226,20070109,20070206,20071207,20080110,20080122,20090205,20100102,20101208,20110206,20120215,20170111,20180105,20180105,20180123
5,19821230,19840105,19861206,19871218,19880104,19880212,19890131,19900222,19910120,19910208,19910208,19930118,19940107,19941228,19980208,19980208,19990105,19990129,20000209,20001220,20020112,20020218,20021220,20051227,20070110,20070207,20071208,20080111,20080123,20090206,20100103,20101209,20110207,20120216,20170113,20180106,20180106,20180124
6,19821231,19840106,19861207,19871219,19880105,19880213,19890201,19900223,19910121,19910209,19910209,19930119,19940108,19941229,19980209,19980209,19990106,19990130,20000210,20001221,20020113,20020219,20021221,20051228,20070111,20070208,20071209,20080112,20080124,20090207,20100105,20101210,20110208,20120217,20170114,20180107,20180107,20180125
7,19830101,19840107,19861208,19871220,-9999,19880214,19890202,19900224,19910122,19910210,19910210,19930120,19940109,-9999,-9999,19980210,19990107,19990131,20000211,20001222,20020114,20020220,20021222,20051229,20070112,20070209,20071210,20080113,20080125,20090208,20100106,20101211,20110209,20120218,20170115,20180108,20180108,20180126
8,19830102,-9999,19861209,19871221,-9999,19880215,19890203,19900225,19910123,19910211,19910211,19930121,19940110,-9999,-9999,-9999,19990108,19990201,20000213,20001223,20020115,20020221,20021223,20051230,20070113,-9999,-9999,-9999,-9999,20090209,20100107,20101212,20110210,20120219,20170116,20180109,20180109,20180127
9,19830104,-9999,19861210,19871222,-9999,19880216,19890205,19900226,19910124,19910212,19910212,-9999,19940111,-9999,-9999,-9999,19990109,19990202,20000214,20001224,-9999,20020222,20021224,20051231,20070114,-9999,-9999,-9999,-9999,20090210,20100108,20101213,-9999,-9999,-9999,20180110,20180110,20180128
10,19830105,-9999,19861211,19871223,-9999,-9999,19890206,-9999,19910125,19910213,19910213,-9999,-9999,-9999,-9999,-9999,19990110,-9999,20000215,-9999,-9999,-9999,-9999,20060101,20070115,-9999,-9999,-9999,-9999,20090211,20100109,20101214,-9999,-9999,-9999,-9999,20180111,-9999
11,19830106,-9999,-9999,-9999,-9999,-9999,19890207,-9999,-9999,19910214,19910214,-9999,-9999,-9999,-9999,-9999,19990111,-9999,20000216,-9999,-9999,-9999,-9999,-9999,20070116,-9999,-9999,-9999,-9999,20090212,20100110,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12,19830107,-9999,-9999,-9999,-9999,-9999,19890208,-9999,-9999,-9999,19911201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20070117,-9999,-9999,-9999,-9999,20090213,20100111,-9999,-9999,-9999,-9999,-9999,-9999,-9999
13,19830108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20070118,-9999,-9999,-9999,-9999,20090214,20100112,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,19830109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
